Reading node file /sshare4/proj/txnet/public/uploads/20171215/19a824869a6fd497e5c16d6ce01cfb31_1513278947/ticam1_ko_source_score
Mapping: Gm4340 Thoc5 -- 0.8
Mapping: Alyref Thoc5 -- 0.8
Mapping: Alyref2 Thoc5 -- 0.8
Mapping: AC121888.1 Thoc5 -- 0.8
Mapping: Wibg Rbm8a -- 0.8
Mapping: Paip1 Eif4a1 -- 0.8
Mapping: Paip1 Eif4a2 -- 0.8
Mapping: Upf3a Magoh -- 0.8
Mapping: Upf3a Magohb -- 0.8
Mapping: Upf3b Magoh -- 0.8
Mapping: Upf3b Magohb -- 0.8
Mapping: Nxf7 Thoc5 -- 0.8
Mapping: Nxf3 Thoc5 -- 0.8
Mapping: Nxf1 Thoc5 -- 0.8
Mapping: Nxf2 Thoc5 -- 0.8
Mapping: Nxf7 Gm4340 -- 0.8
Mapping: Nxf7 Alyref -- 0.8
Mapping: Nxf7 Alyref2 -- 0.8
Mapping: Nxf7 AC121888.1 -- 0.8
Mapping: Nxf3 Gm4340 -- 0.8
Mapping: Nxf3 Alyref -- 0.8
Mapping: Nxf3 Alyref2 -- 0.8
Mapping: Nxf3 AC121888.1 -- 0.8
Mapping: Nxf1 Gm4340 -- 0.8
Mapping: Nxf1 Alyref -- 0.8
Mapping: Nxf1 Alyref2 -- 0.8
Mapping: Nxf1 AC121888.1 -- 0.8
Mapping: Nxf2 Gm4340 -- 0.8
Mapping: Nxf2 Alyref -- 0.8
Mapping: Nxf2 Alyref2 -- 0.8
Mapping: Nxf2 AC121888.1 -- 0.8
Mapping: Rae1 Nxf7 -- 0.8
Mapping: Rae1 Nxf3 -- 0.8
Mapping: Rae1 Nxf1 -- 0.8
Mapping: Rae1 Nxf2 -- 0.8
Mapping: Eif4a3 Nxf7 -- 0.8
Mapping: Eif4a3 Nxf3 -- 0.8
Mapping: Eif4a3 Nxf1 -- 0.8
Mapping: Eif4a3 Nxf2 -- 0.8
Mapping: Gm8994 Nxf7 -- 0.8
Mapping: Gm8994 Nxf3 -- 0.8
Mapping: Gm8994 Nxf1 -- 0.8
Mapping: Gm8994 Nxf2 -- 0.8
Mapping: Nupl2 Nxf7 -- 0.8
Mapping: Nupl2 Nxf3 -- 0.8
Mapping: Nupl2 Nxf1 -- 0.8
Mapping: Nupl2 Nxf2 -- 0.8
Mapping: Nxf7 Upf3a -- 0.8
Mapping: Nxf7 Upf3b -- 0.8
Mapping: Nxf3 Upf3a -- 0.8
Mapping: Nxf3 Upf3b -- 0.8
Mapping: Nxf1 Upf3a -- 0.8
Mapping: Nxf1 Upf3b -- 0.8
Mapping: Nxf2 Upf3a -- 0.8
Mapping: Nxf2 Upf3b -- 0.8
Mapping: Xpo1 Nupl2 -- 0.8
Mapping: Xpo1 Nup88 -- 0.8
Mapping: Xpo1 Nup214 -- 0.8
Mapping: Cyfip1 Fmr1 -- 0.8
Mapping: Cyfip1 Fxr1 -- 0.8
Mapping: Cyfip1 Fxr2 -- 0.8
Mapping: Cyfip2 Fmr1 -- 0.8
Mapping: Cyfip2 Fxr1 -- 0.8
Mapping: Cyfip2 Fxr2 -- 0.8
Mapping: Cyfip1 Eif4e -- 0.8
Mapping: Cyfip1 Eif4e1b -- 0.8
Mapping: Cyfip1 Eif4e2 -- 0.8
Mapping: Cyfip2 Eif4e -- 0.8
Mapping: Cyfip2 Eif4e1b -- 0.8
Mapping: Cyfip2 Eif4e2 -- 0.8
Mapping: Fancm C230052I12Rik -- 0.8
Mapping: Fancm Stra13 -- 0.8
Mapping: Fancm Apitd1 -- 0.8
Mapping: Blm-Rmi1-A630055G03Rik-Top3a Fancm -- 0.8
Mapping: Top3b Fancm -- 0.8
Mapping: Blm-Rmi1-A630055G03Rik-Top3a Rpa2 -- 0.8
Mapping: Blm-Rmi1-A630055G03Rik-Top3a Rpa3 -- 0.8
Mapping: Blm-Rmi1-A630055G03Rik-Top3a Rpa1 -- 0.8
Mapping: Top3b Rpa2 -- 0.8
Mapping: Top3b Rpa3 -- 0.8
Mapping: Top3b Rpa1 -- 0.8
Mapping: Brip1 Palb2-Brca2 -- 0.8
Mapping: C230052I12Rik Telo2 -- 0.8
Mapping: Grb2 Ntrk1 -- 0.8
Mapping: Grb2 Ntrk2 -- 0.8
Mapping: Grb2 Egfr -- 0.8
Mapping: Grb2 Fgfr1 -- 0.8
Mapping: Grb2 Fgfr2 -- 0.8
Mapping: Grb2 Fgfr3 -- 0.8
Mapping: Grb2 Fgfr4 -- 0.8
Mapping: Grb2 Pdgfra -- 0.8
Mapping: Grb2 Pdgfrb -- 0.8
Mapping: Sos1 Grb2 -- 0.8
Mapping: Sos2 Grb2 -- 0.8
Mapping: Tab2 Traf6 -- 0.8
**Direct connection between source and sink for Tab2-Traf6
Mapping: Ecsit Traf6 -- 0.8
Mapping: Srf Elk1 -- 0.8
Mapping: Srf Elk4 -- 0.8
Mapping: AC125170.1 Map2k1 -- 0.8
Mapping: Lamtor3 Map2k1 -- 0.8
Mapping: AC125170.1 Map2k2 -- 0.8
Mapping: Lamtor3 Map2k2 -- 0.8
Mapping: Mapk1 AC125170.1 -- 0.8
Mapping: Mapk1 Lamtor3 -- 0.8
Mapping: Mapk3 AC125170.1 -- 0.8
Mapping: Mapk3 Lamtor3 -- 0.8
Mapping: Mapk8ip1 Mapk10 -- 0.8
Mapping: Mapk8ip1 Mapk8 -- 0.8
Mapping: Mapk8ip1 Mapk9 -- 0.8
Mapping: Mapk8ip2 Mapk10 -- 0.8
Mapping: Mapk8ip2 Mapk8 -- 0.8
Mapping: Mapk8ip2 Mapk9 -- 0.8
Mapping: Mapk8ip1 Map2k7 -- 0.8
Mapping: Mapk8ip2 Map2k7 -- 0.8
Mapping: Mapk8ip1 Map3k11 -- 0.8
Mapping: Mapk8ip2 Map3k11 -- 0.8
Mapping: Mapk8ip1 Map4k1 -- 0.8
Mapping: Mapk8ip2 Map4k1 -- 0.8
Mapping: Mapk10 Mapk8ip3 -- 0.8
Mapping: Mapk8 Mapk8ip3 -- 0.8
Mapping: Mapk9 Mapk8ip3 -- 0.8
Mapping: Map2k4 Mapk8ip3 -- 0.8
Mapping: Map2k7 Mapk8ip3 -- 0.8
Mapping: Mapk8ip3 Map3k1 -- 0.8
Mapping: Map3k11 Mapk8ip3 -- 0.8
Mapping: Mapk10 Crk -- 0.8
Mapping: Mapk10 Crkl -- 0.8
Mapping: Mapk8 Crk -- 0.8
Mapping: Mapk8 Crkl -- 0.8
Mapping: Mapk9 Crk -- 0.8
Mapping: Mapk9 Crkl -- 0.8
Mapping: Map2k4 Crk -- 0.8
Mapping: Map2k4 Crkl -- 0.8
Mapping: Map2k4 Flna -- 0.8
Mapping: Map2k4 Flnb -- 0.8
Mapping: Map2k4 Flnc -- 0.8
Mapping: Map2k4 Arrb1 -- 0.8
Mapping: Map2k4 Arrb2 -- 0.8
Mapping: Phkb Calm1 -- 0.8
Mapping: Phkb Calm2 -- 0.8
Mapping: Phkb Calm3 -- 0.8
Mapping: Phkb Calml3 -- 0.8
