Mapping: YLR186W YPR144C -- 0.875
Mapping: YLR129W YPR144C -- 0.875
Mapping: YLL011W YPR144C -- 0.875
Mapping: YKR060W YPR144C -- 0.75
Mapping: YJR145C YPR144C -- 0.875
Mapping: YJR002W YPR144C -- 0.875
Mapping: YJL109C YPR144C -- 0.875
Mapping: YHR196W YPR144C -- 0.875
Mapping: YHR084W YPR144C -> 0.7
Mapping: YGR145W YPR144C -- 0.875
Mapping: YGR128C YPR144C -- 0.9375
Mapping: YGR090W YPR144C -- 0.9375
Mapping: YGL237C YPR144C -> 0.95
Mapping: YER161C YPR144C -> 0.7
Mapping: YER040W YPR144C -> 0.95
Mapping: YEL009C YPR144C -> 0.95
Mapping: YDR449C YPR144C -- 0.875
Mapping: YDR447C YPR144C -- 0.75
Mapping: YDR324C YPR144C -- 0.9375
Mapping: YDR064W YPR144C -- 0.875
Mapping: YDR060W YPR144C -- 0.7
Mapping: YDL148C YPR144C -- 0.96875
Mapping: YDL014W YPR144C -- 0.875
Mapping: YCR057C YPR144C -- 0.96875
Mapping: YCL059C YPR144C -- 0.9375
Mapping: YBR247C YPR144C -- 0.96875
Mapping: YBL072C YPR144C -- 0.875
Mapping: YBL032W YPR144C -- 0.7
Mapping: YBL004W YPR144C -- 0.875
Mapping: YOR028C YPR143W -> 0.3
Mapping: YHR066W YPR143W -- 0.65
Mapping: YPL253C YPR141C -- 0.75
Mapping: YOR028C YPR141C -> 0.3
Mapping: YMR198W YPR141C -- 0.939975
Mapping: YDR356W YPR141C -- 0.7
Mapping: YBR160W YPR141C -- 0.65
Mapping: YBL032W YPR141C -- 0.7
Mapping: YOL028C YPR140W -> 0.3
Mapping: YOL028C YPR139C -> 0.3
Mapping: YPL266W YPR137W -- 0.75
Mapping: YPL217C YPR137W -- 0.875
Mapping: YPL126W YPR137W -- 0.875
Mapping: YOR310C YPR137W -- 0.96875
Mapping: YOR078W YPR137W -- 0.9375
Mapping: YOL010W YPR137W -- 0.75
Mapping: YNL132W YPR137W -- 0.875
Mapping: YNL075W YPR137W -- 0.875
Mapping: YMR229C YPR137W -- 0.75
Mapping: YMR128W YPR137W -- 0.875
Mapping: YMR093W YPR137W -- 0.875
Mapping: YLR222C YPR137W -- 0.875
Mapping: YLR197W YPR137W -- 0.875
Mapping: YLL011W YPR137W -- 0.75
Mapping: YKL112W YPR137W -> 0.7
Mapping: YJR145C YPR137W -- 0.75
Mapping: YJR123W YPR137W -- 0.75
Mapping: YJR002W YPR137W -- 0.875
Mapping: YJL109C YPR137W -- 0.875
Mapping: YHR196W YPR137W -- 0.875
Mapping: YGR090W YPR137W -- 0.75
Mapping: YDR449C YPR137W -- 0.875
Mapping: YDR324C YPR137W -- 0.875
Mapping: YDR064W YPR137W -- 0.75
Mapping: YDL148C YPR137W -- 0.75
Mapping: YDL014W YPR137W -- 0.825
Mapping: YCR057C YPR137W -- 0.9375
Mapping: YCL059C YPR137W -- 0.875
Mapping: YBL004W YPR137W -- 0.9375
Mapping: YPL049C YPR135W -> 0.8
Mapping: YNL102W YPR135W -- 0.755
Mapping: YKL020C YPR135W -> 0.7
Mapping: YHR084W YPR135W -> 0.8
Mapping: YDL056W YPR135W -> 0.7
Mapping: YBR083W YPR135W -> 0.3
Mapping: YMR203W YPR133W-A -- 0.85
Mapping: YGR116W YPR133C -- 0.96875
Mapping: YDL140C YPR133C -- 0.75
Mapping: YIR018W YPR132W -> 0.6
Mapping: YBL032W YPR132W -- 0.7
Mapping: YOL076W YPR131C -- 0.9375
Mapping: YIR018W YPR131C -> 0.6
Mapping: YNL314W YPR129W -> 0.7
Mapping: YMR019W YPR129W -> 0.95
Mapping: YKL112W YPR129W -> 0.95
Mapping: YEL015W YPR129W -- 0.65
Mapping: YDL160C YPR129W -- 0.65
Mapping: YBL032W YPR129W -- 0.7
Mapping: YNL314W YPR128C -> 0.7
Mapping: YMR019W YPR128C -> 0.95
Mapping: YKL112W YPR128C -> 0.95
Mapping: YPR065W YPR127W -> 0.6
Mapping: YOR028C YPR127W -> 0.7
Mapping: YJR094C YPR127W -> 0.5
Mapping: YDR259C YPR127W -> 0.95
Mapping: YCR106W YPR127W -> 0.95
Mapping: YMR021C YPR125W -> 0.95
Mapping: YKL167C YPR125W -- 0.85
Mapping: YOL108C YPR124W -> 0.3
Mapping: YMR021C YPR124W -> 0.95
Mapping: YKL203C YPR124W -- 0.7
Mapping: YJR066W YPR124W -- 0.7
Mapping: YGL071W YPR124W -> 0.95
Mapping: YOR028C YPR122W -> 0.8
Mapping: YHR084W YPR122W -> 0.95
Mapping: YDR259C YPR122W -> 0.7
Mapping: YPL049C YPR121W -> 0.5
Mapping: YOR028C YPR121W -> 0.3
Mapping: YNL314W YPR121W -> 0.6
Mapping: YNL199C YPR121W -> 0.5
Mapping: YMR037C YPR121W -> 0.6
Mapping: YMR021C YPR121W -> 0.5
Mapping: YLR403W YPR121W -> 0.3
Mapping: YLR256W YPR121W -> 0.6
Mapping: YLR182W YPR121W -> 0.95
Mapping: YKR034W YPR121W -> 0.8
Mapping: YKL062W YPR121W -> 0.6
Mapping: YKL043W YPR121W -> 0.8
Mapping: YIL101C YPR121W -> 0.7
Mapping: YHR084W YPR121W -> 0.8
Mapping: YHL020C YPR121W -> 0.6
Mapping: YGL131C YPR121W -> 0.95
Mapping: YFL021W YPR121W -> 0.3
Mapping: YDR216W YPR121W -> 0.3
Mapping: YDL106C YPR121W -> 0.7
Mapping: YDL056W YPR121W -> 0.95
Mapping: YBR240C YPR121W -> 0.8
Mapping: YBL103C YPR121W -> 0.5
Mapping: YPL049C YPR120C -> 0.5
Mapping: YOR028C YPR120C -> 0.3
Mapping: YNL314W YPR120C -> 0.6
Mapping: YNL199C YPR120C -> 0.5
Mapping: YMR037C YPR120C -> 0.6
Mapping: YMR021C YPR120C -> 0.5
Mapping: YLR403W YPR120C -> 0.3
Mapping: YLR256W YPR120C -> 0.6
Mapping: YLR182W YPR120C -> 0.95
